Epoch 5, Loss nan, Accuracy 0.2791, Val Loss 1.4702, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 10, Loss nan, Accuracy 0.2790, Val Loss 1.4704, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 15, Loss nan, Accuracy 0.2803, Val Loss 1.4705, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 20, Loss nan, Accuracy 0.2811, Val Loss 1.4698, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 25, Loss nan, Accuracy 0.2784, Val Loss 1.4703, Val Accuracy 0.3707, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 30, Loss nan, Accuracy 0.2798, Val Loss 1.4699, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 35, Loss nan, Accuracy 0.2823, Val Loss 1.4695, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 40, Loss nan, Accuracy 0.2820, Val Loss 1.4704, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 45, Loss nan, Accuracy 0.2778, Val Loss 1.4703, Val Accuracy 0.3712, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 50, Loss nan, Accuracy 0.2788, Val Loss 1.4695, Val Accuracy 0.3710, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 55, Loss nan, Accuracy 0.2807, Val Loss 1.4696, Val Accuracy 0.3711, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 60, Loss nan, Accuracy 0.2795, Val Loss 1.4702, Val Accuracy 0.3710, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 65, Loss nan, Accuracy 0.2819, Val Loss 1.4711, Val Accuracy 0.3710, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 70, Loss nan, Accuracy 0.2815, Val Loss 1.4710, Val Accuracy 0.3710, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 75, Loss nan, Accuracy 0.2814, Val Loss 1.4745, Val Accuracy 0.3709, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 80, Loss nan, Accuracy 0.2807, Val Loss 1.4723, Val Accuracy 0.3708, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 85, Loss nan, Accuracy 0.2799, Val Loss 1.4745, Val Accuracy 0.3708, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 90, Loss nan, Accuracy 0.2816, Val Loss 1.4783, Val Accuracy 0.3708, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 95, Loss nan, Accuracy 0.2812, Val Loss 1.4754, Val Accuracy 0.3707, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 100, Loss nan, Accuracy 0.2791, Val Loss 1.4757, Val Accuracy 0.3707, Tammax 200, Batch size 512, Dropout 0.50, Bidirecional 0
